individual	heteroplasmy	generation	mutation_rate	bottleneck_size	back_mutation_rate	starting_heteroplasmy
91	0.00018310546875	1	1e-08	64	1	0.1


94	0.28125	1	1e-08	32	1	0.1




74	0.0234375	1	1e-08	128	1	0.1

73	0.0390625	1	1e-08	128	1	0.1
88	0.125	1	1e-08	64	1	0.1
76	0.078125	1	1e-08	128	1	0.1
77	0.0703125	1	1e-08	128	1	0.1
96	0.09375	1	1e-08	32	1	0.1

105	0.000244140625	1	1e-08	8	1	0.1
86	0.3125	1	1e-08	32	1	0.1








95	0.28125	1	1e-08	64	1	0.1

102	0.00048828125	1	1e-08	8	1	0.1

90	0.015625	1	1e-08	128	1	0.1
99	0.0009765625	1	1e-08	16	1	0.1
91	0.03125	1	1e-08	128	1	0.1
92	0.3046875	1	1e-08	128	1	0.1

104	0.000244140625	1	1e-08	8	1	0.1


93	0.03125	1	1e-08	64	1	0.1

82	0.0625	1	1e-08	128	1	0.1
105	0.0625	1	1e-08	16	1	0.1

85	6.103515625e-05	1	1e-08	128	1	0.1


86	0.00048828125	1	1e-08	64	1	0.1
89	0.09375	1	1e-08	64	1	0.1

94	0.3125	1	1e-08	64	1	0.1
88	0.1015625	1	1e-08	128	1	0.1
96	0.234375	1	1e-08	64	1	0.1

95	0.00018310546875	1	1e-08	128	1	0.1
102	0.0001220703125	1	1e-08	16	1	0.1







108	0.0001220703125	1	1e-08	8	1	0.1

111	0.0001220703125	1	1e-08	8	1	0.1

107	0.000244140625	1	1e-08	8	1	0.1

103	0.000244140625	1	1e-08	8	1	0.1

101	0.000244140625	1	1e-08	8	1	0.1

98	1	1	1e-08	8	1	0.1

100	0.000244140625	1	1e-08	8	1	0.1
97	6.103515625e-05	1	1e-08	8	1	0.1

104	0.00390625	1	1e-08	16	1	0.1


86	0.00018310546875	1	1e-08	128	1	0.1
105	0.000244140625	1	1e-08	32	1	0.1
96	0.2421875	1	1e-08	128	1	0.1
94	0.1484375	1	1e-08	128	1	0.1
108	0.0009765625	1	1e-08	16	1	0.1

111	0.1875	1	1e-08	16	1	0.1
99	0.0001220703125	1	1e-08	32	1	0.1
93	0.078125	1	1e-08	128	1	0.1

89	0.03125	1	1e-08	128	1	0.1
102	0.40625	1	1e-08	32	1	0.1






107	0.00048828125	1	1e-08	16	1	0.1



101	0.000244140625	1	1e-08	16	1	0.1
103	0.0001220703125	1	1e-08	16	1	0.1


102	0.0625	1	1e-08	64	1	0.1
103	0.281248092651367	1	1e-08	32	1	0.1

115	0.000244140625	1	1e-08	8	1	0.1
116	6.103515625e-05	1	1e-08	8	1	0.1
105	0.15625	1	1e-08	64	1	0.1




100	0.0001220703125	1	1e-08	16	1	0.1
111	0.000244140625	1	1e-08	32	1	0.1
109	0.0001220703125	1	1e-08	8	1	0.1
119	0.000244140625	1	1e-08	8	1	0.1

104	0.03125	1	1e-08	32	1	0.1
112	6.103515625e-05	1	1e-08	8	1	0.1

114	0.375	1	1e-08	8	1	0.1
98	6.103515625e-05	1	1e-08	16	1	0.1


110	0.00048828125	1	1e-08	8	1	0.1


106	0.001953125	1	1e-08	8	1	0.1
99	0.078125	1	1e-08	64	1	0.1
107	0.09375	1	1e-08	32	1	0.1


97	0.3125	1	1e-08	16	1	0.1
118	6.103515625e-05	1	1e-08	8	1	0.1
117	0.00048828125	1	1e-08	8	1	0.1
120	0.000244140625	1	1e-08	8	1	0.1

113	6.103515625e-05	1	1e-08	8	1	0.1
108	0.0009765625	1	1e-08	32	1	0.1
101	0.03125	1	1e-08	32	1	0.1










102	0.234375	1	1e-08	128	1	0.1

116	0.6875	1	1e-08	16	1	0.1
103	0.078125	1	1e-08	64	1	0.1
115	0.0001220703125	1	1e-08	16	1	0.1

105	0.03125	1	1e-08	128	1	0.1
100	0.000244140625	1	1e-08	32	1	0.1

109	0.0003662109375	1	1e-08	16	1	0.1
111	0.015625	1	1e-08	64	1	0.1
119	0.5	1	1e-08	16	1	0.1
108	0.0001220703125	1	1e-08	64	1	0.1
107	0.109375	1	1e-08	64	1	0.1

106	0.0001220703125	1	1e-08	16	1	0.1


114	0.25	1	1e-08	16	1	0.1


112	6.103515625e-05	1	1e-08	16	1	0.1
99	0.1171875	1	1e-08	128	1	0.1


120	0.1875	1	1e-08	16	1	0.1

101	0.000244140625	1	1e-08	64	1	0.1




98	0.09375	1	1e-08	32	1	0.1


104	0.000244140625	1	1e-08	64	1	0.1
110	0.3125	1	1e-08	16	1	0.1
118	0.0001220703125	1	1e-08	16	1	0.1
113	0.000244140625	1	1e-08	16	1	0.1
117	0.0001220703125	1	1e-08	16	1	0.1
97	0.00018310546875	1	1e-08	32	1	0.1







126	0.001953125	1	1e-08	8	1	0.1

115	0.09375	1	1e-08	32	1	0.1
116	0.15625	1	1e-08	32	1	0.1
111	0.0078125	1	1e-08	128	1	0.1



108	0.171875	1	1e-08	128	1	0.1
114	0.00018310546875	1	1e-08	32	1	0.1
107	0.0703125	1	1e-08	128	1	0.1
129	1	1	1e-08	8	1	0.1




100	0.0009765625	1	1e-08	64	1	0.1
98	0.00048828125	1	1e-08	64	1	0.1
119	0.25	1	1e-08	32	1	0.1
110	0.375	1	1e-08	32	1	0.1
109	0.0078125	1	1e-08	32	1	0.1

106	0.03125	1	1e-08	32	1	0.1
120	0.25	1	1e-08	32	1	0.1

112	0.4375	1	1e-08	32	1	0.1
103	0.1875	1	1e-08	128	1	0.1







126	0.0625	1	1e-08	16	1	0.1
114	0.046875	1	1e-08	64	1	0.1
